,Team 1,Team 1 Score,Team 2,Team 2 Score
811,Saint Francis,1,Daemen,3
812,D'Youville,1,FDU,3
813,NJIT,3,Sacred Heart,1
814,Harvard,0,Princeton,3
815,LeMoyne-Owen,0,Morehouse,3
816,Merrimack,3,LIU,1
817,Purdue Fort Wayne,0,McKendree,3
818,Ohio St.,3,Quincy,0
819,BYU,2,UCLA,3
820,Vanguard,1,Menlo,3
821,Stanford,3,Southern California,2
822,Long Beach St.,3,Hawaii,1
823,Dominican (NY),0,St. Thomas Aquinas,3
824,Queens (NC),1,Lindenwood,3
825,American Int'l,0,Roberts Wesleyan,3
826,King (TN),3,Lees-McRae,0
827,Catawba,0,Lincoln Memorial,3
828,Emmanuel (GA),0,Erskine,3
829,LeMoyne-Owen,2,Morehouse,3
830,NJIT,3,Sacred Heart,0
831,Fort Valley St.,3,Edward Waters,0
832,Saint Francis,3,Daemen,0
833,D'Youville,0,FDU,3
834,Harvard,2,Princeton,3
835,Vanguard,0,Menlo,3
836,Purdue Fort Wayne,0,McKendree,3
837,Penn St.,3,George Mason,2
838,Ball St.,1,Loyola Chicago,3
839,Ohio St.,3,Quincy,1
840,BYU,1,UCLA,3
841,North Greenville,1,Belmont Abbey,3
842,Barton,1,Mount Olive,3
843,Thomas More,1,Tusculum,3
844,Stanford,3,Southern California,1
845,UC Santa Barbara,0,UC Irvine,3
846,CSUN,3,UC San Diego,2
847,Long Beach St.,2,Hawaii,3
848,Morehouse,1,Benedict,3
849,LeMoyne-Owen,0,Central St. (OH),3
850,Morehouse,0,Benedict,3
851,Central St. (OH),1,Edward Waters,3
852,Benedict,0,Fort Valley St.,3
853,LeMoyne-Owen,2,Morehouse,3
854,Benedict,1,Central St. (OH),3
855,Edward Waters,1,Fort Valley St.,3
856,Erskine,1,North Greenville,3
857,King (TN),0,Barton,3
858,CSUN,0,UC Irvine,3
859,Grand Canyon,3,Stanford,2
860,Southern California,2,UCLA,3
861,Roosevelt,2,Thomas More,3
862,American Int'l,0,St. Thomas Aquinas,3
863,Rockhurst,3,Catawba,1
864,Dominican (NY),0,Roberts Wesleyan,3
865,Merrimack,3,FDU,0
866,Thomas More,0,Lincoln Memorial,3
867,LIU,1,Saint Francis,3
868,Charleston (WV),0,George Mason,3
869,Harvard,0,NJIT,3
870,Barry,0,Maryville (MO),3
871,D'Youville,1,Daemen,3
872,Princeton,3,Penn St.,1
873,Missouri S&T,3,Tusculum,2
874,Grand Canyon,3,Stanford,2
875,Pepperdine,2,BYU,3
876,Hawaii,3,UC Santa Barbara,1
877,Long Beach St.,3,UC San Diego,0
878,Menlo,3,CUI,1
879,Rockhurst,0,Lincoln Memorial,3
880,Merrimack,3,FDU,2
881,Roberts Wesleyan,0,St. Thomas Aquinas,3
882,Missouri S&T,2,Maryville (MO),3
883,Princeton,0,Penn St.,3
884,Daemen,1,D'Youville,3
885,LIU,1,Saint Francis,3
886,Charleston (WV),1,George Mason,3
887,Lindenwood,1,Ohio St.,3
888,Maryville (MO),1,Lincoln Memorial,3
889,Harvard,1,NJIT,3
890,Purdue Fort Wayne,0,McKendree,3
891,UCLA,0,Southern California,3
892,Queens (NC),0,Loyola Chicago,3
893,UC Irvine,3,CSUN,2
894,Pepperdine,1,BYU,3
895,Ball St.,2,Lewis,3
896,Hawaii,0,UC Santa Barbara,3
897,Menlo,3,CUI,0
898,UC San Diego,0,Long Beach St.,3
899,Vanguard,1,CUI,3
900,Charleston (WV),0,George Mason,3
901,Ohio St.,3,McKendree,0
902,Harvard,0,Penn St.,3
903,CUI,0,Grand Canyon,3
904,Lewis,0,Loyola Chicago,3
905,Menlo,1,Stanford,3
906,George Mason,1,Princeton,2
907,Penn St.,,NJIT,
908,Grand Canyon,,Pepperdine,
909,UC Santa Barbara,,UC San Diego,
910,Stanford,,BYU,
911,CSUN,,UC Irvine,
912,Daemen,,LIU,
913,North Greenville,,Mount Olive,
914,FDU,,Saint Francis,
915,Barton,,Belmont Abbey,
916,TBA,,UCLA,
917,TBA,,Long Beach St.,
918,TBA,,Southern California,
919,TBA,,Hawaii,
920,Ohio St.,,Loyola Chicago,
