,Team 1,Team 1 Score,Team 2,Team 2 Score
761,Belmont Abbey,3,Queens (NC),1
762,King (TN),0,Tusculum,3
763,Truett-McConnell,2,Benedict,3
764,King (TN),0,Lees-McRae,3
765,Erskine,1,Belmont Abbey,3
766,North Greenville,3,Emmanuel (GA),2
767,Barton,0,Mount Olive,3
768,Pepperdine,0,Grand Canyon,3
769,UCLA,3,CUI,0
770,Maryville (MO),2,Thomas More,3
771,Merrimack,1,Daemen,3
772,Morehouse,3,Benedict,2
773,FDU,0,Saint Francis (PA),3
774,Fort Valley St.,3,Edward Waters,1
775,Tusculum,0,Lincoln Memorial,3
776,NJIT,3,Harvard,2
777,Charleston (WV),3,Princeton,2
778,Sacred Heart,3,D'Youville,0
779,Kentucky St.,1,Central St. (OH),3
780,George Mason,2,Penn St.,3
781,Pepperdine,0,Grand Canyon,3
782,CSUN,1,UC Santa Barbara,3
783,Long Beach St.,0,UC Irvine,3
784,Hawaii,3,UC San Diego,1
785,Southern California,0,Stanford,3
786,Roberts Wesleyan,3,Dominican (NY),2
787,Maryville (MO),1,Tusculum,3
788,Charleston (WV),2,Princeton,3
789,Lincoln Memorial,3,Thomas More,0
790,George Mason,1,Penn St.,3
791,Sacred Heart,1,Daemen,3
792,Merrimack,3,D'Youville,1
793,FDU,0,Saint Francis (PA),3
794,Lewis,1,Ohio St.,3
795,NJIT,3,Harvard,1
796,Queens (NC),0,Ball St.,3
797,Purdue Fort Wayne,0,Lindenwood,3
798,McKendree,0,Loyola Chicago,3
799,UC Santa Barbara,1,CSUN,3
800,Southern California,1,Stanford,3
801,Hawaii,0,UC San Diego,3
802,UC Irvine,0,Long Beach St.,3
803,CUI,0,UCLA,3
804,American Int'l,0,St. Thomas Aquinas,3
805,Fort Valley St.,3,Benedict,0
806,Barton,2,Mount Olive,3
807,King (TN),3,Erskine,1
808,Sacred Heart,3,LIU,1
809,Charleston (WV),3,Princeton,0
810,CUI,0,Grand Canyon,3
811,Merrimack,1,FDU,3
812,Harvard,3,NJIT,0
813,Southern California,3,BYU,2
814,Stanford,3,Pepperdine,0
815,Benedict,0,Kentucky St.,3
816,Morehouse,0,Central St. (OH),3
817,Ohio St.,3,Loyola Chicago,1
818,FDU,0,Daemen,3
819,Kentucky St.,0,Fort Valley St.,3
820,Charleston (WV),0,George Mason,3
821,Central St. (OH),3,Edward Waters,1
822,Lindenwood,3,Ball St.,2
823,Sacred Heart,0,Saint Francis (PA),3
824,Harvard,1,Penn St.,3
825,Southern California,0,UCLA,3
826,Stanford,1,Grand Canyon,3
827,CSUN,3,UC San Diego,0
828,UC Santa Barbara,1,Hawaii,3
829,Central St. (OH),0,Fort Valley St.,3
830,Mount Olive,0,Belmont Abbey,3
831,King (TN),1,North Greenville,3
832,CSUN,1,Long Beach St.,3
833,Hawaii,0,UC Irvine,3
834,American Int'l,1,St. Thomas Aquinas,3
835,Roberts Wesleyan,0,Dominican (NY),3
836,Daemen,3,Saint Francis (PA),1
837,North Greenville,1,Belmont Abbey,3
838,Lindenwood,1,Ohio St.,3
839,George Mason,1,Penn St.,3
840,Grand Canyon,3,UCLA,2
841,UC Irvine,1,Long Beach St.,3
842,St. Thomas Aquinas,3,Dominican (NY),2
843,Fort Valley St.,0,UCLA,3
844,Penn St.,0,UC Irvine,3
845,Belmont Abbey,0,Long Beach St.,3
846,Ohio St.,0,Grand Canyon,3
